index,alt,az,dec,local_time,n_id,obj,ra,secz,z
38,55.3160940588,325.344027996,-0.4191,2016-08-06 19:16:18.179,6.0,6888376_128290_b,215.0929,1.2160953883,34.6839059412
25,54.9707630726,324.582931753,-0.3347,2016-08-06 19:16:18.179,5.0,6888376_128290_a,214.544,1.22121108933,35.0292369274
12,44.4142545954,8.19838042531,14.98,2016-08-07 06:20:45.865,2.0,80127519_128906_a,46.5799,1.42889584458,45.5857454046
24,43.6974381228,7.10025525795,15.7851,2016-08-07 06:20:45.865,3.0,80127519_128906_b,45.8549,1.44749204327,46.3025618772
0,34.9179024174,86.9845516903,-14.4861,2016-08-07 06:20:45.865,1.0,80305071_129307,98.3268,1.74702361816,55.0820975826
