index,alt,az,dec,local_time,n_id,obj,ra,secz,z
0,72.4124196107,331.051962561,-14.4861,2017-03-21 19:53:19.722,1.0,80305071_129307,98.3268,1.04903593866,17.5875803893
26,60.6121414281,1.38480212749,-0.7331,2017-03-21 20:53:40.542,4.0,80305071_129307,122.798,1.14768684791,29.3878585719
104,60.3266581469,359.369418775,-0.4191,2017-03-22 03:05:48.929,6.0,80305071_129307,215.0929,1.15093083232,29.6733418531
67,60.2330155397,358.265335738,-0.3347,2017-03-22 03:05:48.929,5.0,80305071_129307,214.544,1.15200514259,29.7669844603
