index,alt,az,dec,local_time,n_id,obj,ra,secz,z
102,87.9078550969,157.806629727,-32.0165,2016-04-27 23:31:30.631,5.0,67093193_127853_b,199.31,1.0006670365,2.09214490313
25,85.8566402903,11.2781545489,-26.0359,2016-04-28 01:00:53.446,1.0,67093193_127853_b,221.675,1.00262045864,4.1433597097
75,82.8190079949,57.9364660446,-26.238,2016-04-28 06:08:45.365,2.0,67093193_127853_b,304.73,1.00790578491,7.18099200508
150,60.3549192891,358.552821338,-0.4581,2016-04-28 00:41:01.710,6.0,67093193_127853_b,215.109,1.15060760469,29.6450807109
189,60.2176679598,2.43386084539,-0.3347,2016-04-28 00:31:05.841,7.0,67093193_127853_b,214.544,1.15218170194,29.7823320402
261,53.0088089219,358.239074118,6.8528,2016-04-28 02:20:20.393,9.0,67093193_127853_b,239.6639,1.25199062366,36.9911910781
297,53.0088089219,358.239074118,6.8528,2016-04-28 02:20:20.393,10.0,67093193_127853_b,239.6639,1.25199062366,36.9911910781
333,53.0088089219,358.239074118,6.8528,2016-04-28 02:20:20.393,11.0,67093193_127853_b,239.6639,1.25199062366,36.9911910781
226,50.5325857589,359.741997406,9.3417,2016-04-28 02:20:20.393,8.0,67093193_127853_b,240.5683,1.29535991852,39.4674142411
