index,alt,az,dec,local_time,n_id,obj,ra,secz,z
35,58.0426856069,335.934540607,-0.4191,2016-07-31 19:14:18.096,6.0,6888376_128290_b,215.0929,1.17863004238,31.9573143931
20,57.7673943604,335.026673791,-0.3347,2016-07-31 19:14:18.096,5.0,6888376_128290_a,214.544,1.18218711362,32.2326056396
9,43.5716514217,14.6858360699,14.98,2016-08-01 06:24:46.032,2.0,80127519_128906_a,46.5799,1.4508288921,46.4283485783
19,42.9376892443,13.508925513,15.7851,2016-08-01 06:24:46.032,3.0,80127519_128906_b,45.8549,1.46799207103,47.0623107557
