index,alt,az,dec,local_time,n_id,obj,ra,secz,z
104,87.8631347975,204.586948771,-32.0165,2017-05-06 23:05:01.739,5.0,32674593_129474,199.31,1.00069587424,2.13686520249
78,85.9993572346,355.512627181,-26.238,2017-05-07 06:02:48.699,2.0,32674593_129474,304.73,1.00244268453,4.00064276543
26,85.8203367721,346.117912221,-26.0359,2017-05-07 00:34:33.231,1.0,32674593_129474,221.675,1.00266668245,4.17966322791
151,60.3659994802,359.528445122,-0.4581,2017-05-07 00:04:42.734,6.0,32674593_129474,215.109,1.15048100451,29.6340005198
192,60.2342979589,358.391856241,-0.3347,2017-05-07 00:04:42.734,7.0,32674593_129474,214.544,1.15199039576,29.7657020411
262,53.0206160282,358.968588468,6.8528,2017-05-07 01:44:11.057,9.0,32674593_129474,239.6639,1.25179632465,36.9793839718
297,53.0206160282,358.968588468,6.8528,2017-05-07 01:44:11.057,10.0,32674593_129474,239.6639,1.25179632465,36.9793839718
332,53.0206160282,358.968588468,6.8528,2017-05-07 01:44:11.057,11.0,32674593_129474,239.6639,1.25179632465,36.9793839718
228,50.5344144936,0.428198301875,9.3417,2017-05-07 01:44:11.057,8.0,32674593_129474,240.5683,1.29532587771,39.4655855064
