index,alt,az,dec,local_time,n_id,obj,ra,secz,z
23,74.3061443436,3.49515992004,-14.4861,2016-12-11 01:51:54.663,1.0,80127519_128906_a,98.3268,1.03872279662,15.6938556564
105,60.6148466152,0.552689272203,-0.7331,2016-12-11 03:32:25.518,4.0,80127519_128906_a,122.798,1.14765633211,29.3851533848
49,44.7857702191,359.544998257,14.98,2016-12-10 22:30:52.953,2.0,80127519_128906_a,46.5799,1.41953112088,45.2142297809
73,43.9695808367,358.585001195,15.7851,2016-12-10 22:30:52.953,3.0,80127519_128906_a,45.8549,1.44034861473,46.0304191633
