index,alt,az,dec,local_time,n_id,obj,ra,secz,z
65,87.8029528499,152.110428831,-32.0165,2017-03-13 02:32:14.619,5.0,58537957_128340,199.31,1.0007356473,2.19704715007
25,85.7995296096,14.9323359583,-26.0359,2017-03-13 04:01:31.788,1.0,32674593_129474,221.675,1.00269335878,4.20047039043
105,60.3643715012,359.152831805,-0.4581,2017-03-13 03:41:41.306,6.0,6888376_128290_a,215.109,1.15049960105,29.6356284988
138,60.229495279,358.017974852,-0.3347,2017-03-13 03:41:41.306,7.0,6888376_128290_b,214.544,1.15204562776,29.770504721
188,53.019472894,358.768691604,6.8528,2017-03-13 05:20:53.715,9.0,67093193_127853_b,239.6639,1.25181513123,36.980527106
209,53.019472894,358.768691604,6.8528,2017-03-13 05:20:53.715,10.0,67093193_127853_c,239.6639,1.25181513123,36.980527106
230,53.019472894,358.768691604,6.8528,2017-03-13 05:20:53.715,11.0,67093193_127853_d,239.6639,1.25181513123,36.980527106
167,50.5361098392,0.240094612724,9.3417,2017-03-13 05:20:53.715,8.0,67093193_127853_a,240.5683,1.29529432264,39.4638901608
38,38.0840758472,101.119942166,-26.238,2017-03-13 05:40:44.197,2.0,65274589_129281,304.73,1.6212260267,51.9159241528
